1,1,here we come,(1999)
1,2,the a list,(2000)
1,3,make it good,(2002)
1,4,waiting for daylight,(2010)
1,5,rediscovered,(2012)
1,6,other songs
2,1,how ace are buildings?,(1997)
2,2,'a' vs monkey kong,(1999)
2,3,hi-fi serious,(2002)
2,4,teen dance ordinance,(2005)
2,5,other songs
3,1,age ain't nothing but a number,(1994)
3,2,one in a million,(1996)
3,3,aaliyah,(2001)
3,4,i care 4 u,(2002)
3,5,other songs
4,1,i love you,(2006)
4,2,sweet soul music,(2008)
4,3,treble &amp; reverb,(2012)
4,4,brown girl,(2016)
4,5,other songs
6,1,aaron carter,(1998)
6,2,aaron's party (come get it),(2000)
6,3,oh aaron,(2001)
6,4,another earthquake!,(2002)
6,5,løvë,(2018)
6,6,other songs
7,1,if i can be honest,(2016)
7,2,other songs
10,1,town line,(2011)
10,2,the road,(2012)
10,3,sinner,(2016)
10,4,other songs
11,1,love changes everything,(2001)
11,2,living out loud,(2003)
11,3,waitin' on the wonderful,(2005)
11,4,moments that matter,(2007)
12,1,tell it like it is,(1974)
12,2,orchid in the storm,(1986)
12,3,show me the way,(1989)
12,4,warm your heart,(1991)
12,5,the grand tour,(1993)
12,6,aaron neville's soulful christmas,(1993)
12,7,the tattooed heart,(1995)
12,8,to make me who i am,(1997)
12,9,devotion,(2000)
12,10,believe,(2003)
12,11,nature boy: the standards album,(2003)
12,12,christmas prayer,(2005)
12,13,bring it on home... the soul classics,(2006)
12,14,i know i've been changed,(2010)
12,15,my true story,(2013)
12,16,apache,(2016)
12,17,other songs
13,1,anything worth saying,(2005)
13,2,whispered and shouted,(2007)
13,3,take over,(2009)
13,4,christmas,(2009)
13,5,this is what we believe,(2011)
13,6,morning rises,(2013)
13,7,unto us,(2014)
13,8,doxology,(2015)
13,9,love made a way,(2017)
13,10,other songs
14,1,you've got to stand for something,(1991)
14,2,read between the lines,(1992)
14,3,call of the wild,(1993)
14,4,lookin' back at myself,(1994)
14,5,tool box,(1995)
14,6,greatest hits... and then some,(1997)
14,7,what this country needs,(1998)
14,8,people like us,(2000)
14,9,a december to remember,(2001)
14,10,stars and stripes,(2002)
14,11,in overdrive,(2009)
14,12,other songs
15,1,a texas café,(2001)
15,2,shutupanddance,(2002)
15,3,the honky tonk kid,(2004)
15,4,san angelo,(2006)
15,5,barbed wire halo,(2007)
15,6,angels &amp; outlaws,(2008)
15,7,the road &amp; the rodeo,(2010)
15,8,real good time,(2012)
15,9,the underdog,(2015)
15,10,vaquero,(2017)
15,11,other songs
16,1,abandon all ships,(2009)
16,2,geeving,(2010)
16,3,infamous,(2012)
16,4,malocchio,(2014)
16,5,other songs
17,1,humanistic,(2001)
17,2,armed to the teeth,(2005)
17,3,sublime currency,(2012)
17,4,other songs
18,1,ring ring,(1973)
18,2,waterloo,(1974)
18,3,abba,(1975)
18,4,arrival,(1976)
18,5,the album,(1977)
18,6,voulez-vous,(1979)
18,7,super trouper,(1980)
18,8,gracias por la música,(1980)
18,9,the visitors,(1981)
18,10,other songs
19,1,forever your girl,(1988)
19,2,spellbound,(1991)
19,3,head over heels,(1995)
19,4,other songs
20,1,joker presents zak abel,(2015)
20,2,one hand on the future,(2015)
20,3,only when we're naked,(2017)
20,4,other songs
21,2,other songs
22,1,hatchet warrior,(2003)
22,2,dirty history,(2004)
22,3,road fools,(2005)
22,4,mudface,(2008)
23,1,tri-state,(2006)
23,2,group therapy,(2011)
23,3,acoustic,(2014)
23,4,we are all we need,(2015)
23,5,common ground,(2018)
23,6,other songs
24,1,abra,(2013)
24,2,other songs
25,1,blq velvet,(2015)
25,2,rose,(2015)
25,3,princess,(2016)
25,4,other songs
26,1,abraham mateo,(2009)
26,2,am,(2013)
26,3,who i am,(2014)
26,4,are you ready?,(2015)
26,5,other songs
27,1,casey abrams,(2012)
27,2,tales from the gingerbread house,(2016)<br><i>(as Casey Abrams And The Gingerbread Band)</i>
27,3,put a spell on you,(2018)
27,4,other songs
28,1,abstract theory,(2003)
28,2,other songs
29,1,thousand peaces,(2017)
29,2,other songs
30,3,longterm mentality,(2011)
30,4,control system,(2012)
30,5,these days...,(2014)
30,6,do what thou wilt.,(2016)
30,7,other songs
31,1,we are the artist,(2015)
31,2,something to write home about,(2016)
31,3,other songs
33,1,...and life is very long,(2002)
33,2,3750,(2004)
33,3,the dead walk,(2006)
33,4,continent,(2008)
33,5,wormwood,(2010)
33,6,death is the only mortal,(2012)
33,7,above / below,(2013)
33,8,coma witch,(2014)
33,9,gravebloom,(2017)
33,10,other songs
34,1,loose friends,(2015)
34,2,tales from the backseat,(2018)
34,3,other songs
35,1,the academy,(2004)
35,2,almost here,(2005)
35,3,from the carpet,(2006)
35,4,santi,(2007)
35,5,fast times at barrington high,(2008)
35,6,lost in pacific time,(2009)
35,7,other songs
36,1,accept,(1979)
36,2,i'm a rebel,(1980)
36,3,breaker,(1981)
36,4,restless and wild,(1982)
36,5,balls to the wall,(1983)
36,6,metal heart,(1985)
36,7,russian roulette,(1986)
36,8,eat the heat,(1989)
36,9,objection overruled,(1993)
36,10,death row,(1994)
36,11,predator,(1996)
